time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
546,20,983040,1799,-0.008511297738490005,0.6339672803878784,0.0057697403,-1.0310595507423084,0.009200380028535923,190,0.04460856119791667,0.0001,0.2,-0.02061276137828827,10.4,7750.5625,20000.0,-1000.0
561,21,1032192,1837,-0.0009142152751640727,0.05296671390533447,0.0038072874,-1.0177880307038625,843.0836434364319,200,0.0038594563802083334,0.0001,0.2,393.2254333496094,,,20000.0,-1000.0
578,22,1081344,1868,-0.0011221048334846273,0.07037419080734253,0.0036137719,-1.0024305487672487,756.0794397989908,210,0.0032674153645833332,0.0001,0.2,259.5273742675781,0.0,7944.7109375,20000.0,-1000.0
598,23,1130496,1889,-0.0018950616899625554,0.3732609748840332,0.0025941038,-0.9925158498187859,29.122310007115207,220,0.0032328287760416668,0.0001,0.2,7.340915203094482,,,20000.0,-1000.0
620,24,1179648,1900,-0.0013170073390938342,0.18916040658950806,0.0040670848,-0.9949702598154545,30.147250267863274,230,0.015509033203125,0.0001,0.2,22.231584548950195,,,20000.0,-1000.0
647,25,1228800,1898,-0.001990066757328653,0.1695716381072998,0.0036597075,-0.9904678953190644,7.195110400269429,240,0.020865885416666667,0.0001,0.2,4.712395191192627,10.4,6977.4453125,20000.0,-1000.0
676,26,1277952,1888,-0.002063050528522581,0.27675729990005493,0.0037256994,-0.9952440723776818,0.9318816233115892,250,0.016005452473958334,0.0001,0.2,0.045456841588020325,,,20000.0,-1000.0
712,27,1327104,1862,-0.00434974023179772,0.677830159664154,0.0034132504,-0.9890579581260681,0.07520869319948058,260,0.0142333984375,0.0001,0.2,0.011177126318216324,27.1,7821.3828125,20000.0,-1000.0
759,28,1376256,1811,-0.006911609360637764,0.6456852555274963,0.0056623146,-0.9785445051888625,0.04314486812024067,270,0.04248453776041667,0.0001,0.2,-0.006097608245909214,,,20000.0,-1000.0
808,29,1425408,1762,-0.010051316944494222,0.7799080163240433,0.005967053,-0.9831847126285235,0.016635381426506987,280,0.056966145833333336,0.0001,0.2,-0.021446291357278824,,,20000.0,-1000.0
833,30,1474560,1769,-0.009346549100397776,0.7758115231990814,0.005331818,-0.976726500938336,0.012597672643217568,290,0.048345947265625,0.0001,0.2,-0.01881435699760914,3.6,9488.29296875,20000.0,-1000.0
848,31,1523712,1795,-7.598512359739592e-05,0.061627089977264404,0.0021147078,-0.951678533355395,1262.7895317077637,300,0.04146728515625,0.0001,0.2,600.2818603515625,,,20000.0,-1000.0
