time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_loss,train/n_updates,resources/memory_mb,resources/cpu_percent
237568,133,116,1776,-19.59956169128418,0.04281196370720863,-1.0897358655929565,0.0002,0.03581652790307999,115,,
239616,135,117,1764,-14.255220413208008,0.0609772689640522,-1.0898656845092773,0.0002,-0.028517264872789383,116,,
241664,137,118,1751,-9.854522705078125,0.04745511710643768,-1.0903193950653076,0.0002,0.034694381058216095,117,9969.9140625,6.1
243712,139,119,1740,-12.474977493286133,0.0376661941409111,-1.090132474899292,0.0002,-0.031831808388233185,118,,
245760,142,120,1728,-17.888952255249023,0.024394318461418152,-1.0908591747283936,0.0002,0.03444983810186386,119,,
247808,144,121,1718,-4.804633617401123,0.03984532877802849,-1.0906544923782349,0.0002,-0.015373039990663528,120,,
249856,146,122,1707,-6.391362190246582,0.060823503881692886,-1.090958833694458,0.0002,0.039120227098464966,121,,
251904,148,123,1697,-15.165016174316406,0.06651943922042847,-1.090770959854126,0.0002,-0.03752937167882919,122,,
253952,150,124,1687,-2.11236572265625,0.10322847962379456,-1.0914897918701172,0.0002,0.050511427223682404,123,,
256000,152,125,1676,-8.675225257873535,0.09845905750989914,-1.0915151834487915,0.0002,-0.03483692556619644,124,,
258048,154,126,1666,-9.223294258117676,0.0350489467382431,-1.0910592079162598,0.0002,-0.0011713765561580658,125,,
260096,156,127,1656,-6.029487609863281,0.05848151445388794,-1.0909401178359985,0.0002,-0.016950568184256554,126,,
262144,159,128,1646,-7.440814971923828,0.05522923171520233,-1.0918612480163574,0.0002,0.01232632715255022,127,,
264192,161,129,1637,-0.9157924652099609,0.06267830729484558,-1.0917668342590332,0.0002,-0.03378245234489441,128,,
266240,163,130,1627,-13.055127143859863,0.06666737794876099,-1.0916132926940918,0.0002,0.007046133279800415,129,,
268288,165,131,1618,-17.953672409057617,0.04113047569990158,-1.0918593406677246,0.0002,-0.04563455283641815,130,,
270336,168,132,1608,-17.422529220581055,0.05608432739973068,-1.0915076732635498,0.0002,0.010032957419753075,131,,
272384,170,133,1599,-15.849702835083008,0.05877506732940674,-1.0917487144470215,0.0002,-0.05687114968895912,132,,
274432,172,134,1587,-9.979391098022461,0.03049328178167343,-1.0918350219726562,0.0002,0.02387048304080963,133,,
276480,175,135,1578,-7.700316429138184,0.03293529897928238,-1.0917212963104248,0.0002,-0.036974914371967316,134,,
278528,177,136,1570,-11.814436912536621,0.038224607706069946,-1.091823935508728,0.0002,0.02825893647968769,135,,
280576,179,137,1561,-13.903697967529297,0.05084330588579178,-1.0916380882263184,0.0002,-0.04512616991996765,136,,
282624,181,138,1553,-16.8408145904541,0.037717536091804504,-1.092043161392212,0.0002,0.017397157847881317,137,,
284672,184,139,1544,-9.988605499267578,0.02749161422252655,-1.091568946838379,0.0002,-0.03366321325302124,138,,
286720,186,140,1535,-7.912252426147461,0.03396466374397278,-1.0915675163269043,0.0002,0.030238375067710876,139,,
288768,189,141,1526,-14.484137535095215,0.050871044397354126,-1.092099905014038,0.0002,-0.04595007747411728,140,,
290816,192,142,1513,-9.721770286560059,0.034484170377254486,-1.0919969081878662,0.0002,0.021009620279073715,141,,
292864,194,143,1503,-1.7288641929626465,0.05453261733055115,-1.091848373413086,0.0002,-0.01971970498561859,142,,
294912,197,144,1493,-9.969285011291504,0.04075364023447037,-1.091999888420105,0.0002,0.027249924838542938,143,,
296960,200,145,1483,-14.908151626586914,0.030685488134622574,-1.0919924974441528,0.0002,-0.03648274764418602,144,,
299008,202,146,1476,-10.022520065307617,0.05505381152033806,-1.0917856693267822,0.0002,0.01083558239042759,145,,
301056,204,147,1469,-11.069205284118652,0.041331857442855835,-1.0917671918869019,0.0002,-0.030902277678251266,146,,
303104,207,148,1462,-6.578494548797607,0.0649665966629982,-1.092279314994812,0.0002,0.0287930965423584,147,,
305152,209,149,1455,-14.66683578491211,0.03477776050567627,-1.0915745496749878,0.0002,-0.043279096484184265,148,,
307200,212,150,1448,-13.038613319396973,0.02641855552792549,-1.0918512344360352,0.0002,0.025097019970417023,149,,
309248,214,151,1441,-3.7366185188293457,0.05262768641114235,-1.0920865535736084,0.0002,-0.021373149007558823,150,,
311296,216,152,1434,-2.8528287410736084,0.044251151382923126,-1.0916991233825684,0.0002,0.025977859273552895,151,,
313344,219,153,1428,-30.354835510253906,0.046827979385852814,-1.0914661884307861,0.0002,-0.043157219886779785,152,,
315392,221,154,1421,-16.33964729309082,0.035007014870643616,-1.0915532112121582,0.0002,0.015833981335163116,153,,
317440,224,155,1415,-11.303915023803711,0.025720898061990738,-1.0915358066558838,0.0002,-0.041984155774116516,154,,
