time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,train/learning_rate,train/policy_loss,train/n_updates,train/entropy_loss,resources/memory_mb,resources/cpu_percent
1188,155,133,158720,-18.00559425354004,0.028030723333358765,0.0002,-0.011372443288564682,154,-1.0948821306228638,,
1185,156,134,159744,-9.381552696228027,0.014057494699954987,0.0002,-0.0005597390700131655,155,-1.0950343608856201,,
1178,157,136,160768,-9.8101167678833,0.03464682400226593,0.0002,0.0036101085133850574,156,-1.0949864387512207,13605.6484375,14.3
1174,158,137,161792,-8.250100135803223,0.030915401875972748,0.0002,0.004859445616602898,157,-1.0951058864593506,,
1171,159,139,162816,-9.357726097106934,0.05494094640016556,0.0002,-0.01546956691890955,158,-1.0951930284500122,,
1168,160,140,163840,-15.604778289794922,0.013313483446836472,0.0002,-0.010154735296964645,159,-1.0951671600341797,,
1165,161,141,164864,-5.080199718475342,0.07686202228069305,0.0002,-0.0009045815095305443,160,-1.0953032970428467,,
1162,162,142,165888,-19.98724365234375,0.019103163853287697,0.0002,-0.01797821745276451,161,-1.0952868461608887,,
1159,163,143,166912,-10.719550132751465,0.01700565591454506,0.0002,0.0029494715854525566,162,-1.095324993133545,,
1156,164,145,167936,-10.730521202087402,0.05722847208380699,0.0002,-0.005590667482465506,163,-1.0952435731887817,,
1153,165,146,168960,-3.5888423919677734,0.10900813341140747,0.0002,-0.01948670484125614,164,-1.095347285270691,,
1150,166,147,169984,-2.679603338241577,0.07939711213111877,0.0002,-0.019240938127040863,165,-1.0950603485107422,,
1148,167,148,171008,-15.819570541381836,0.026668276637792587,0.0002,-0.017069604247808456,166,-1.095050573348999,,
1144,168,150,172032,-11.795286178588867,0.020373718813061714,0.0002,0.0028460656758397818,167,-1.0948783159255981,,
1141,169,151,173056,-0.01438140869140625,0.1500902771949768,0.0002,0.056448351591825485,168,-1.0952110290527344,,
1139,170,152,174080,-10.088142395019531,0.034433867782354355,0.0002,-0.0383191853761673,169,-1.0948843955993652,,
