time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/entropy_loss,train/policy_loss,train/learning_rate,train/explained_variance,train/n_updates,resources/cpu_percent,resources/memory_mb
33,2199,73728,36,0.23665815591812134,-1.0848667621612549,-0.09765878319740295,0.0002,-2.2912487983703613,35,,
34,2197,75776,37,0.18655072152614594,-1.0852649211883545,-0.052297644317150116,0.0002,-1.677994728088379,36,,
35,2196,77824,38,0.17417626082897186,-1.0881391763687134,0.01273634098470211,0.0002,-0.6620920896530151,37,,
36,2195,79872,39,0.2318444550037384,-1.0891214609146118,-0.07711747288703918,0.0002,-0.45329535007476807,38,,
37,2190,81920,40,0.20603913068771362,-1.088362693786621,-0.04776560142636299,0.0002,-1.4201719760894775,39,4.1,6985.37890625
38,2191,83968,41,0.16913989186286926,-1.0887680053710938,-0.027925165370106697,0.0002,-1.5639300346374512,40,,
39,2195,86016,42,0.1307901293039322,-1.0889489650726318,-0.03956806659698486,0.0002,-2.7720999717712402,41,,
40,2196,88064,43,0.19879087805747986,-1.088905692100525,0.00774047477170825,0.0002,-0.2550710439682007,42,,
41,2193,90112,44,0.19924023747444153,-1.0899975299835205,-0.08225642144680023,0.0002,-2.238520622253418,43,,
42,2191,92160,45,0.11086505651473999,-1.0880831480026245,-0.009114434942603111,0.0002,-2.5845301151275635,44,,
43,2183,94208,46,0.12878422439098358,-1.0900459289550781,-0.044942840933799744,0.0002,-2.068589210510254,45,,
44,2182,96256,47,0.08813068270683289,-1.090674877166748,-0.008433196693658829,0.0002,-6.354469299316406,46,,
45,2178,98304,48,0.0813598781824112,-1.0907254219055176,-0.03843659907579422,0.0002,-6.068545818328857,47,,
46,2176,100352,49,0.08670619875192642,-1.0916614532470703,-0.01743965409696102,0.0002,-8.347851753234863,48,,
47,2177,102400,50,0.13193126022815704,-1.091385841369629,-0.026846762746572495,0.0002,-2.4018166065216064,49,,
47,2177,104448,51,0.09095189720392227,-1.0918910503387451,0.0038823322393000126,0.0002,-2.088392496109009,50,,
48,2177,106496,52,0.08893072605133057,-1.0921498537063599,-0.04760325700044632,0.0002,-4.334280014038086,51,,
49,2177,108544,53,0.08483731746673584,-1.0917057991027832,-0.02396795153617859,0.0002,-1.6129775047302246,52,,
50,2178,110592,54,0.08566673845052719,-1.0923140048980713,-0.017789695411920547,0.0002,-3.767590045928955,53,,
51,2175,112640,55,0.05641360580921173,-1.092193603515625,-0.013970381580293179,0.0002,-8.438249588012695,54,,
52,2170,114688,56,0.06244273483753204,-1.0929927825927734,-0.012328259646892548,0.0002,-5.507723331451416,55,,
53,2165,116736,57,0.09119487553834915,-1.092927098274231,-0.002855739090591669,0.0002,-1.7800557613372803,56,,
55,2159,118784,58,0.090050607919693,-1.0924577713012695,-0.03923316299915314,0.0002,-2.999483108520508,57,,
56,2152,120832,59,0.0754709541797638,-1.0923123359680176,-0.031132979318499565,0.0002,-2.9128916263580322,58,,
57,2147,122880,60,0.0444086417555809,-1.093073844909668,0.005472557153552771,0.0002,-6.257925987243652,59,,
58,2142,124928,61,0.07021556794643402,-1.0926086902618408,-0.03715618699789047,0.0002,-2.2552270889282227,60,,
59,2136,126976,62,0.07195472717285156,-1.0934507846832275,0.0050524319522082806,0.0002,-3.6991281509399414,61,,
60,2130,129024,63,0.1264529526233673,-1.0936568975448608,-0.04200286418199539,0.0002,-2.6460256576538086,62,,
61,2128,131072,64,0.06185317039489746,-1.0933620929718018,-0.017696354538202286,0.0002,-1.9320709705352783,63,,
62,2125,133120,65,0.05060845613479614,-1.0935512781143188,-0.022393370047211647,0.0002,-4.4574360847473145,64,,
63,2118,135168,66,0.06237366795539856,-1.0938687324523926,0.012115312740206718,0.0002,-1.0938968658447266,65,,
65,2109,137216,67,0.03306650370359421,-1.0944228172302246,-0.028673304244875908,0.0002,-6.039856433868408,66,,
66,2104,139264,68,0.027634423226118088,-1.0944591760635376,0.007558430545032024,0.0002,-5.643893241882324,67,,
67,2102,141312,69,0.07467616349458694,-1.0941708087921143,-0.043030329048633575,0.0002,-1.3405132293701172,68,,
68,2099,143360,70,0.028906745836138725,-1.0944764614105225,0.013030014932155609,0.0002,-6.675429344177246,69,,
69,2095,145408,71,0.041803549975156784,-1.0948359966278076,-0.028934575617313385,0.0002,-4.391171455383301,70,,
70,2093,147456,72,0.038369931280612946,-1.0947117805480957,-0.010208521969616413,0.0002,-3.4963741302490234,71,,
71,2090,149504,73,0.06549207866191864,-1.0945039987564087,0.0021102363243699074,0.0002,-2.42763614654541,72,,
72,2087,151552,74,0.04692164063453674,-1.0943318605422974,-0.020734205842018127,0.0002,-4.384138107299805,73,,
73,2081,153600,75,0.07354303449392319,-1.0949169397354126,-0.003490263130515814,0.0002,-1.5480470657348633,74,,
75,2075,155648,76,0.02812052331864834,-1.0950367450714111,-0.02203144133090973,0.0002,-4.125219821929932,75,,
76,2071,157696,77,0.029359808191657066,-1.0938951969146729,0.007769628427922726,0.0002,-2.3849761486053467,76,,
77,2067,159744,78,0.031254932284355164,-1.0950084924697876,-0.028642956167459488,0.0002,-5.673038005828857,77,,
78,2061,161792,79,0.037940431386232376,-1.0946979522705078,0.004417452961206436,0.0002,-4.0148515701293945,78,7.3,7400.12890625
79,2057,163840,80,0.04213843494653702,-1.095017433166504,-0.02666585147380829,0.0002,-6.293007850646973,79,,
80,2053,165888,81,0.0483073964715004,-1.0949547290802002,-0.0009629923151805997,0.0002,-6.530754566192627,80,,
81,2049,167936,82,0.05531378462910652,-1.0955958366394043,0.005420738831162453,0.0002,-0.9947088956832886,81,,
83,2043,169984,83,0.024695314466953278,-1.0949702262878418,-0.02276860550045967,0.0002,-12.26416015625,82,,
84,2036,172032,84,0.08140014857053757,-1.094992995262146,-0.02440519630908966,0.0002,-2.781386137008667,83,,
85,2030,174080,85,0.048648327589035034,-1.0960602760314941,-0.009272083640098572,0.0002,-2.2795724868774414,84,,
87,2022,176128,86,0.05614130198955536,-1.0954346656799316,-0.020708449184894562,0.0002,-7.327030181884766,85,,
88,2017,178176,87,0.06090022623538971,-1.0959620475769043,-0.002481816802173853,0.0002,-3.0889697074890137,86,,
89,2013,180224,88,0.02396932989358902,-1.0960006713867188,-0.010717006400227547,0.0002,-12.045438766479492,87,,
90,2009,182272,89,0.03398280590772629,-1.0956979990005493,-0.009972824715077877,0.0002,-9.713098526000977,88,,
91,2003,184320,90,0.038641639053821564,-1.0959882736206055,-0.00634634168818593,0.0002,-5.808780193328857,89,,
93,1996,186368,91,0.026364918798208237,-1.095930814743042,-0.001598068862222135,0.0002,-10.818377494812012,90,,
94,1990,188416,92,0.06379958987236023,-1.096181035041809,-0.014253005385398865,0.0002,-1.3374338150024414,91,,
95,1984,190464,93,0.01645565591752529,-1.0963709354400635,-0.009512653574347496,0.0002,-8.982147216796875,92,,
97,1979,192512,94,0.04855775088071823,-1.096421718597412,0.019117068499326706,0.0002,-2.0849103927612305,93,,
98,1974,194560,95,0.019901419058442116,-1.096245527267456,-0.022720258682966232,0.0002,-15.037395477294922,94,,
99,1970,196608,96,0.02506224811077118,-1.096440076828003,0.012277750298380852,0.0002,-3.4505324363708496,95,,
101,1964,198656,97,0.011151926591992378,-1.0963106155395508,-0.01744488812983036,0.0002,-10.157706260681152,96,,
102,1957,200704,98,0.017139185220003128,-1.0964643955230713,0.01605967804789543,0.0002,-4.024980068206787,97,,
104,1949,202752,99,0.028054337948560715,-1.0964235067367554,-0.018057525157928467,0.0002,-7.68460750579834,98,,
105,1943,204800,100,0.026130490005016327,-1.0962798595428467,0.0019669453613460064,0.0002,-3.1911582946777344,99,,
106,1937,206848,101,0.031567759811878204,-1.096182107925415,-0.012623915448784828,0.0002,-5.943695068359375,100,,
108,1932,208896,102,0.015382514335215092,-1.0962599515914917,-0.006487930193543434,0.0002,-10.78824520111084,101,,
109,1927,210944,103,0.03533342108130455,-1.0963443517684937,0.010499455034732819,0.0002,-4.8623199462890625,102,,
110,1921,212992,104,0.022479712963104248,-1.0965285301208496,-0.020408228039741516,0.0002,-7.230344772338867,103,,
112,1912,215040,105,0.026689086109399796,-1.0966153144836426,-0.004998126067221165,0.0002,-9.541495323181152,104,,
113,1906,217088,106,0.015245972201228142,-1.0967483520507812,0.003478358034044504,0.0002,-14.238754272460938,105,,
115,1901,219136,107,0.01909954473376274,-1.096835970878601,-0.008184948936104774,0.0002,-7.697545051574707,106,,
116,1896,221184,108,0.009760495275259018,-1.096691608428955,0.0063491701148450375,0.0002,-1.8282067775726318,107,,
118,1891,223232,109,0.03548238053917885,-1.096891164779663,-0.016597580164670944,0.0002,-6.756198406219482,108,,
119,1885,225280,110,0.014893591403961182,-1.0967144966125488,0.010209629312157631,0.0002,-3.3104429244995117,109,,
121,1877,227328,111,0.01817096583545208,-1.096632719039917,-0.016235727816820145,0.0002,-6.627607822418213,110,,
122,1870,229376,112,0.010970470495522022,-1.0966882705688477,0.007195364683866501,0.0002,-13.320236206054688,111,,
124,1865,231424,113,0.030680887401103973,-1.096860408782959,-0.006749475374817848,0.0002,-3.4417805671691895,112,,
125,1860,233472,114,0.027720458805561066,-1.0966806411743164,-0.01524299569427967,0.0002,-7.755403518676758,113,,
126,1854,235520,115,0.009150408208370209,-1.0965654850006104,0.013826096430420876,0.0002,-4.483152866363525,114,,
128,1849,237568,116,0.01353391818702221,-1.0967190265655518,-0.008698813617229462,0.0002,-7.9363203048706055,115,,
130,1841,239616,117,0.011910529807209969,-1.096909999847412,0.001785170752555132,0.0002,-8.145833015441895,116,,
131,1832,241664,118,0.049441996961832047,-1.096956729888916,0.007177717052400112,0.0002,-1.731748104095459,117,8.2,7498.953125
133,1827,243712,119,0.02565455064177513,-1.0970181226730347,-0.030790407210588455,0.0002,-12.923222541809082,118,,
134,1821,245760,120,0.009702358394861221,-1.0970364809036255,-0.005525149405002594,0.0002,-11.117690086364746,119,,
136,1816,247808,121,0.01074052695184946,-1.0971324443817139,-0.003794371383264661,0.0002,-7.329827308654785,120,,
137,1810,249856,122,0.022038286551833153,-1.0971131324768066,0.005987696349620819,0.0002,-6.179464817047119,121,,
139,1803,251904,123,0.02656923606991768,-1.0972065925598145,-0.01239362545311451,0.0002,-4.732071876525879,122,,
141,1796,253952,124,0.011948461644351482,-1.0971482992172241,0.0014424714026972651,0.0002,-7.635926246643066,123,,
142,1790,256000,125,0.027666905894875526,-1.097224235534668,-0.004245441872626543,0.0002,-12.288956642150879,124,,
144,1785,258048,126,0.01003858633339405,-1.097261905670166,-0.0006753348279744387,0.0002,-11.535174369812012,125,,
146,1779,260096,127,0.025871919468045235,-1.0972135066986084,-0.009708281606435776,0.0002,-26.226789474487305,126,,
147,1771,262144,128,0.00918641034513712,-1.097209095954895,0.0012813829816877842,0.0002,-11.099063873291016,127,,
149,1764,264192,129,0.02132696658372879,-1.0973243713378906,-0.005162619519978762,0.0002,-7.668811798095703,128,,
151,1758,266240,130,0.008514806628227234,-1.0973864793777466,-6.179232150316238e-05,0.0002,-9.839770317077637,129,,
