time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_loss,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,resources/memory_mb,resources/cpu_percent
1472,124,172,253952,0.026022249832749367,123,0.04160241037607193,0.0002,-13.283102989196777,-1.0951486825942993,,
1464,125,174,256000,-0.03421759977936745,124,0.046694315969944,0.0002,-9.645585060119629,-1.0949532985687256,,
1458,126,176,258048,0.019185012206435204,125,0.029372241348028183,0.0002,-24.73529624938965,-1.0950610637664795,,
1452,127,179,260096,-0.019065655767917633,126,0.029613733291625977,0.0002,-2.028038263320923,-1.094987392425537,,
1447,128,181,262144,0.013913613744080067,127,0.02572982758283615,0.0002,-26.032527923583984,-1.0951917171478271,,
1441,129,183,264192,-0.02041209116578102,128,0.03297758847475052,0.0002,-17.226682662963867,-1.0956615209579468,,
1435,130,185,266240,0.0005044435383751988,129,0.03638781979680061,0.0002,-21.186132431030273,-1.0956921577453613,,
1429,131,187,268288,-0.008487462997436523,130,0.012988695874810219,0.0002,-20.7137508392334,-1.0955110788345337,,
1424,132,189,270336,0.03410961851477623,131,0.043179258704185486,0.0002,-2.2926392555236816,-1.0956997871398926,,
1418,133,191,272384,-0.04656530171632767,132,0.06613659858703613,0.0002,-15.736541748046875,-1.0956027507781982,,
1413,134,194,274432,0.00977606512606144,133,0.02330636978149414,0.0002,-17.523529052734375,-1.0954959392547607,,
1407,135,196,276480,-0.01765890046954155,134,0.02511534094810486,0.0002,-9.480005264282227,-1.0956568717956543,,
1402,136,198,278528,0.01596830040216446,135,0.030080493539571762,0.0002,-13.266603469848633,-1.0956783294677734,,
1396,137,200,280576,-0.015575426630675793,136,0.05594083294272423,0.0002,-1.5000877380371094,-1.0955312252044678,,
1391,138,203,282624,-0.011142278090119362,137,0.03115733712911606,0.0002,-20.12564468383789,-1.0954293012619019,,
1385,139,205,284672,0.013120591640472412,138,0.04196379333734512,0.0002,-1.701855182647705,-1.0953748226165771,,
1379,140,207,286720,-0.029947660863399506,139,0.031736865639686584,0.0002,-15.112672805786133,-1.0952122211456299,,
1373,141,210,288768,0.014088745228946209,140,0.02629404515028,0.0002,-10.970900535583496,-1.0953519344329834,,
1366,142,212,290816,-0.013580557890236378,141,0.024406936019659042,0.0002,-6.439872741699219,-1.095170497894287,,
1361,143,215,292864,-0.006049402989447117,142,0.06465478241443634,0.0002,-3.114798069000244,-1.0955841541290283,,
1356,144,217,294912,-0.007399388588964939,143,0.015895850956439972,0.0002,-8.234561920166016,-1.0956058502197266,,
1351,145,219,296960,0.005945933051407337,144,0.025304321199655533,0.0002,-5.625238418579102,-1.0959259271621704,,
1346,146,222,299008,-0.01906866393983364,145,0.020832207053899765,0.0002,-14.659402847290039,-1.0961347818374634,,
1341,147,224,301056,0.010104650631546974,146,0.04752213507890701,0.0002,-12.117805480957031,-1.0962191820144653,,
1336,148,226,303104,-0.029542118310928345,147,0.017814088612794876,0.0002,-8.641676902770996,-1.096404790878296,,
1330,149,229,305152,0.00984568614512682,148,0.03826263174414635,0.0002,-13.949356079101562,-1.0963789224624634,,
1325,150,231,307200,-0.026560667902231216,149,0.025575459003448486,0.0002,-10.27148151397705,-1.0963306427001953,,
1320,151,234,309248,0.02599293738603592,150,0.025561876595020294,0.0002,-8.621603012084961,-1.0962858200073242,,
1315,152,236,311296,-0.028074543923139572,151,0.011350806802511215,0.0002,-14.61269760131836,-1.0964992046356201,,
1310,153,239,313344,0.01965371146798134,152,0.03108515962958336,0.0002,-12.757245063781738,-1.0963308811187744,,
1305,154,241,315392,-0.02386670932173729,153,0.02874070033431053,0.0002,-3.1706066131591797,-1.096486210823059,,
1300,155,244,317440,0.025280922651290894,154,0.06840480118989944,0.0002,-4.53377103805542,-1.096428394317627,,
1295,156,246,319488,-0.03379714488983154,155,0.05315437540411949,0.0002,-5.144526958465576,-1.0964128971099854,,
1290,157,249,321536,0.011072129011154175,156,0.018541332334280014,0.0002,-8.667627334594727,-1.0964763164520264,8708.1640625,14.3
1285,158,251,323584,-0.016704363748431206,157,0.011495787650346756,0.0002,-13.1723051071167,-1.0964397192001343,,
1281,159,254,325632,0.0169052854180336,158,0.03070627711713314,0.0002,-11.005647659301758,-1.096348762512207,,
1276,160,256,327680,-0.02865871787071228,159,0.02383504807949066,0.0002,-15.6536865234375,-1.0965995788574219,,
1271,161,259,329728,0.014060311019420624,160,0.010037589818239212,0.0002,-13.501442909240723,-1.0967926979064941,,
1266,162,261,331776,-0.014437851496040821,161,0.009889625012874603,0.0002,-12.437488555908203,-1.09681236743927,,
1262,163,264,333824,0.015148274600505829,162,0.015908122062683105,0.0002,-16.170522689819336,-1.096796989440918,,
1257,164,267,335872,-0.023476094007492065,163,0.010077321901917458,0.0002,-15.868404388427734,-1.0968542098999023,,
1253,165,269,337920,0.02977140061557293,164,0.021246448159217834,0.0002,-6.9696879386901855,-1.09682035446167,,
1247,166,272,339968,-0.017675481736660004,165,0.028585635125637054,0.0002,-6.941556453704834,-1.0968297719955444,,
1242,167,275,342016,-0.0008485557045787573,166,0.0326385460793972,0.0002,-38.97202682495117,-1.0969191789627075,,
1237,168,277,344064,-0.001469923765398562,167,0.010872913524508476,0.0002,-4.9942450523376465,-1.0969748497009277,,
