time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
2749,36,73728,26,-0.0011992454528808594,0.0002,-0.5548819899559021,35,17.893953323364258,-0.7579135894775391,,,,
2744,37,75776,27,-0.017127513885498047,0.0002,-0.006639493629336357,36,0.1725851595401764,-0.757563591003418,,,,
2737,38,77824,28,0.002678096294403076,0.0002,0.019766993820667267,37,0.18611258268356323,-0.7566959261894226,,,,
2732,39,79872,29,-0.0017671585083007812,0.0002,-0.04956923425197601,38,0.2029203474521637,-0.747438907623291,,,,
2715,40,81920,30,0.010304868221282959,0.0002,-0.0021253377199172974,39,0.16603630781173706,-0.7462179660797119,16.7,14266.04296875,,
2709,41,83968,30,0.007756054401397705,0.0002,0.007278327830135822,40,0.16456961631774902,-0.7623878121376038,,,,
2705,42,86016,31,0.03505188226699829,0.0002,-0.038598909974098206,41,0.17113719880580902,-0.7600671052932739,,,,
2701,43,88064,32,-0.0013947486877441406,0.0002,0.020012743771076202,42,0.17931663990020752,-0.7541211247444153,,,,
2679,44,90112,33,-0.007020235061645508,0.0002,-0.01730206049978733,43,0.18774858117103577,-0.752821147441864,,,,
2666,45,92160,34,0.014564037322998047,0.0002,0.027476035058498383,44,0.1886225789785385,-0.7511869668960571,,,,
2659,46,94208,35,-0.013510942459106445,0.0002,-0.02591211535036564,45,0.18193159997463226,-0.7494403719902039,,,,
2646,47,96256,36,0.00875544548034668,0.0002,0.00936154369264841,46,0.17219100892543793,-0.7459867000579834,,,,
2631,48,98304,37,-0.011802911758422852,0.0002,-0.03640448674559593,47,0.17181774973869324,-0.7477234601974487,,,,
2624,49,100352,38,-0.020103096961975098,0.0002,0.010060782544314861,48,0.17440158128738403,-0.7471844553947449,,,,
2615,50,102400,39,0.033267319202423096,0.0002,-0.0009946636855602264,49,0.19075468182563782,-0.7463958263397217,,,,
2607,51,104448,40,0.02325958013534546,0.0002,0.0037778704427182674,50,0.169747456908226,-0.7571307420730591,,,,
2598,52,106496,40,0.026735305786132812,0.0002,-0.0048387618735432625,51,0.16587117314338684,-0.758711576461792,,,,
2588,53,108544,41,0.06575143337249756,0.0002,-0.014960688538849354,52,0.16808220744132996,-0.7544726729393005,,,,
2578,54,110592,42,0.033577024936676025,0.0002,0.026251960545778275,53,0.1713998019695282,-0.7509527802467346,,,,
2566,55,112640,43,0.03316432237625122,0.0002,0.0002537763211876154,54,0.16946449875831604,-0.7495424747467041,,,,
2560,56,114688,44,-0.03705751895904541,0.0002,-0.014624277129769325,55,0.18480096757411957,-0.7575291395187378,,,,
2555,57,116736,45,0.061693429946899414,0.0002,0.01040780171751976,56,0.15850889682769775,-0.7554867267608643,,,,
2550,58,118784,46,0.061865806579589844,0.0002,-0.01707354560494423,57,0.1696295291185379,-0.7511473894119263,,,,
2544,59,120832,47,-0.06144905090332031,0.0002,0.027800805866718292,58,0.1755356788635254,-0.7492421865463257,,,,
2539,60,122880,48,0.0627174973487854,0.0002,-0.009306041523814201,59,0.1739104688167572,-0.7494982481002808,,,,
2533,61,124928,49,0.14550858736038208,0.0002,0.00909444410353899,60,0.16859093308448792,-0.746415913105011,,,,
2526,62,126976,50,0.04919952154159546,0.0002,-0.0428977906703949,61,0.1820770800113678,-0.7399068474769592,,,,
2521,63,129024,51,-0.006646871566772461,0.0002,0.029419630765914917,62,0.1842847615480423,-0.7365449666976929,,,,
2516,64,131072,52,0.021351099014282227,0.0002,-0.029512915760278702,63,0.15930597484111786,-0.7289055585861206,,,,
2510,65,133120,53,0.0659361481666565,0.0002,0.011397861875593662,64,0.17438846826553345,-0.7315398454666138,,,,
2504,66,135168,53,0.026860713958740234,0.0002,-0.03774169087409973,65,0.1662101298570633,-0.7384668588638306,,,,
2495,67,137216,54,0.01675736904144287,0.0002,0.020196188241243362,66,0.16524361073970795,-0.7333712577819824,,,,
2482,68,139264,56,0.0009455084800720215,0.0002,-0.03553245961666107,67,0.15977239608764648,-0.7376840114593506,,,,
2474,69,141312,57,0.023037970066070557,0.0002,0.02955137938261032,68,0.18199054896831512,-0.7339714169502258,,,,
2466,70,143360,58,0.09084081649780273,0.0002,-0.030842680484056473,69,0.17808860540390015,-0.7387137413024902,,,,
2458,71,145408,59,-0.003220796585083008,0.0002,0.01986386440694332,70,0.1584366261959076,-0.7377294301986694,,,,
2451,72,147456,60,-0.0447235107421875,0.0002,-0.03913206234574318,71,0.15250304341316223,-0.7413374781608582,,,,
2442,73,149504,61,-0.004877924919128418,0.0002,0.014901132322847843,72,0.15995490550994873,-0.7407200932502747,,,,
