time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_loss,train/learning_rate,resources/memory_mb,resources/cpu_percent
1027,110592,107,54,53,0.35952848196029663,-1.2365283966064453,-1.0981323719024658,-0.1772562712430954,0.0001,11345.12890625,2.1
1066,112640,105,55,54,0.4129127562046051,-0.6071754693984985,-1.098076343536377,-0.20619118213653564,0.0001,,
1107,114688,103,56,55,0.3652970492839813,-0.4392739534378052,-1.098116159439087,-0.18220528960227966,0.0001,,
1149,116736,101,57,56,0.43448173999786377,-0.48328685760498047,-1.0981805324554443,-0.21413059532642365,0.0001,11367.62890625,2.1
1190,118784,99,58,57,0.291408896446228,-3.2628417015075684,-1.0981309413909912,-0.1586410105228424,0.0001,,
1231,120832,98,59,58,0.4341200590133667,-0.5890393257141113,-1.0981123447418213,-0.1663108915090561,0.0001,11335.65234375,2.1
1274,122880,96,60,59,0.3427194654941559,-0.992975115776062,-1.0981169939041138,-0.15425540506839752,0.0001,,
1319,124928,94,61,60,0.274150550365448,-1.1431245803833008,-1.0981318950653076,-0.11772088706493378,0.0001,,
1363,126976,93,62,61,0.2956911325454712,-1.031266689300537,-1.0982083082199097,-0.1322421431541443,0.0001,11466.234375,5.4
1411,129024,91,63,62,0.5280535221099854,-0.3970649242401123,-1.098170518875122,-0.14470842480659485,0.0001,,
1460,131072,89,64,63,0.36330628395080566,-0.8050745725631714,-1.0981576442718506,-0.13629290461540222,0.0001,11560.328125,2.1
1508,133120,88,65,64,0.3202276825904846,-0.9315776824951172,-1.098299503326416,-0.11569284647703171,0.0001,,
