time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_loss,resources/cpu_percent,resources/memory_mb
91,131072,1430,128,-14.551629066467285,-1.0925097465515137,0.0002,127,0.010542713105678558,-0.00838665384799242,,
92,132096,1425,129,-11.04782772064209,-1.0922021865844727,0.0002,128,0.01035163551568985,0.007803582586348057,,
93,133120,1421,130,-4.362224578857422,-1.0923900604248047,0.0002,129,0.05874961242079735,-0.011921500787138939,,
94,134144,1417,131,-9.52542781829834,-1.0924623012542725,0.0002,130,0.01556758675724268,-0.01490804273635149,,
95,135168,1414,132,-1.66080904006958,-1.0927770137786865,0.0002,131,0.05725676938891411,0.012046060524880886,,
96,136192,1409,133,-2.7786433696746826,-1.0928142070770264,0.0002,132,0.04275737330317497,-0.02142157405614853,,
97,137216,1405,134,-10.145657539367676,-1.0927388668060303,0.0002,133,0.022126752883195877,-0.014832519926130772,,
98,138240,1401,135,-4.88151741027832,-1.093161940574646,0.0002,134,0.0225272998213768,0.016707632690668106,,
99,139264,1397,136,-7.267603874206543,-1.0933624505996704,0.0002,135,0.011481457389891148,-0.028642047196626663,,
100,140288,1393,137,-2.7418901920318604,-1.0933758020401,0.0002,136,0.01829492300748825,0.03575832396745682,,
101,141312,1389,138,-7.911539077758789,-1.09311842918396,0.0002,137,0.02626710943877697,-0.05274742469191551,,
102,142336,1384,139,-9.65711498260498,-1.0935311317443848,0.0002,138,0.024121584370732307,0.026807254180312157,,
103,143360,1380,140,-9.355353355407715,-1.0933291912078857,0.0002,139,0.03667743504047394,-0.043635278940200806,,
104,144384,1377,141,-11.47542667388916,-1.0935555696487427,0.0002,140,0.010973094031214714,0.024880580604076385,,
105,145408,1372,142,-13.619880676269531,-1.0932568311691284,0.0002,141,0.021315455436706543,-0.017140571027994156,,
106,146432,1368,143,-6.989553928375244,-1.092932105064392,0.0002,142,0.007265283726155758,0.013406608253717422,,
108,147456,1364,144,-4.900574684143066,-1.0933048725128174,0.0002,143,0.010981528088450432,-0.016007624566555023,,
109,148480,1360,145,-15.4927978515625,-1.093780517578125,0.0002,144,0.015665659680962563,0.021346554160118103,,
110,149504,1356,146,-7.4095458984375,-1.0936081409454346,0.0002,145,0.00977992545813322,-0.029291516169905663,,
111,150528,1352,147,-8.59039306640625,-1.0932252407073975,0.0002,146,0.011439161375164986,0.0405825711786747,,
112,151552,1348,148,-4.221347332000732,-1.093512773513794,0.0002,147,0.00869465060532093,-0.035624586045742035,,
113,152576,1344,149,-7.053535461425781,-1.0936133861541748,0.0002,148,0.00917432364076376,0.037366196513175964,,
114,153600,1340,150,-4.60543155670166,-1.0935840606689453,0.0002,149,0.010132060386240482,-0.027445651590824127,,
115,154624,1337,151,-8.263033866882324,-1.09367036819458,0.0002,150,0.006652140989899635,0.02134832739830017,,
116,155648,1333,152,-6.989287376403809,-1.0938186645507812,0.0002,151,0.007056511007249355,-0.016655858606100082,,
117,156672,1329,153,-17.611238479614258,-1.09371018409729,0.0002,152,0.005677628796547651,0.011265422217547894,,
118,157696,1325,154,-7.976680755615234,-1.0935837030410767,0.0002,153,0.005637457128614187,-0.004638993181288242,,
120,158720,1321,155,-4.682712554931641,-1.0940687656402588,0.0002,154,0.053318217396736145,0.004922828637063503,,
121,159744,1317,156,-4.070645809173584,-1.0937111377716064,0.0002,155,0.044761866331100464,-0.02387973666191101,,
122,160768,1312,157,-8.777239799499512,-1.0937354564666748,0.0002,156,0.01965518482029438,-0.00979861430823803,12.5,10259.5234375
123,161792,1309,158,-9.686923027038574,-1.0931479930877686,0.0002,157,0.009533564560115337,0.003865220583975315,,
124,162816,1305,159,0.22342175245285034,-1.0938830375671387,0.0002,158,0.07455059885978699,0.055547311902046204,,
125,163840,1301,160,-11.646085739135742,-1.0934321880340576,0.0002,159,0.024886948987841606,-0.06891785562038422,,
127,164864,1294,161,-7.101052284240723,-1.093224287033081,0.0002,160,0.01298357080668211,0.012484276667237282,,
128,165888,1289,162,-6.540877819061279,-1.0930967330932617,0.0002,161,0.006090567447245121,-0.018014486879110336,,
129,166912,1285,163,-13.037220001220703,-1.093280553817749,0.0002,162,0.010809395462274551,0.02649461105465889,,
131,167936,1281,164,-9.031351089477539,-1.0930219888687134,0.0002,163,0.008482868783175945,-0.03973369300365448,,
132,168960,1278,165,-4.963963031768799,-1.092926025390625,0.0002,164,0.020263012498617172,0.03407213091850281,,
133,169984,1274,166,-8.117542266845703,-1.0926513671875,0.0002,165,0.011652776971459389,-0.03222068399190903,,
134,171008,1270,167,0.016827166080474854,-1.092537522315979,0.0002,166,0.05430891364812851,0.045743994414806366,,
135,172032,1267,168,-3.898369312286377,-1.0924665927886963,0.0002,167,0.07594340294599533,-0.06337407231330872,,
136,173056,1263,169,-7.7434892654418945,-1.0928075313568115,0.0002,168,0.006434213370084763,0.021560927852988243,,
138,174080,1259,170,-8.586797714233398,-1.0928984880447388,0.0002,169,0.0064826845191419125,-0.013586465269327164,,
