time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
1546,110,225280,145,0.031275808811187744,0.18040455877780914,109,-0.6907932162284851,0.0002,0.020214684307575226,,,,
1543,111,227328,147,0.008955597877502441,0.1907118260860443,110,-0.6936399340629578,0.0002,-0.026726700365543365,,,,
1539,112,229376,148,0.09843116998672485,0.18285506963729858,111,-0.6867318153381348,0.0002,0.02565346285700798,,,,
1536,113,231424,150,0.22875475883483887,0.18221625685691833,112,-0.6783818602561951,0.0002,-0.018869156017899513,,,,
1531,114,233472,152,0.3089088797569275,0.1790909767150879,113,-0.6697801947593689,0.0002,0.016285425052046776,,,,
1527,115,235520,154,0.41689419746398926,0.18433856964111328,114,-0.6914966106414795,0.0002,-0.022697709500789642,,,,
1523,116,237568,155,0.43634599447250366,0.19334086775779724,115,-0.704394519329071,0.0002,0.02654447965323925,,,,
1520,117,239616,157,0.30669599771499634,0.20357346534729004,116,-0.7003195285797119,0.0002,-0.028519365936517715,,,,
1513,118,241664,159,0.25200504064559937,0.19308069348335266,117,-0.7074174284934998,0.0002,0.0362076461315155,98.2,15115.56640625,,
1510,119,243712,161,0.1717914342880249,0.19566631317138672,118,-0.7057430148124695,0.0002,-0.0312962681055069,,,,
1507,120,245760,163,0.3861001133918762,0.16858434677124023,119,-0.7105411887168884,0.0002,0.015180237591266632,,,,
1504,121,247808,164,0.2775455117225647,0.19315528869628906,120,-0.7116926908493042,0.0002,-0.03330179303884506,,,,
1501,122,249856,166,0.3727087378501892,0.1925593912601471,121,-0.7127189636230469,0.0002,0.022472281008958817,,,,
1498,123,251904,168,0.47945767641067505,0.18275763094425201,122,-0.7081626653671265,0.0002,-0.022654550150036812,,,,
1495,124,253952,169,0.31254637241363525,0.20143912732601166,123,-0.7064056396484375,0.0002,0.042153555899858475,,,,
1491,125,256000,171,0.23212236166000366,0.1906788945198059,124,-0.712149441242218,0.0002,-0.02068045549094677,,,,
1488,126,258048,173,0.28351670503616333,0.1856677532196045,125,-0.7139356136322021,0.0002,0.0149809829890728,,,,
1485,127,260096,175,0.21110010147094727,0.1914519965648651,126,-0.7069957852363586,0.0002,-0.02109573595225811,,,,
1482,128,262144,176,0.2576720714569092,0.18692557513713837,127,-0.7089776992797852,0.0002,0.028639256954193115,,,,
1478,129,264192,178,0.26017093658447266,0.20806705951690674,128,-0.7113777995109558,0.0002,-0.01811056211590767,,,,
1475,130,266240,180,0.255545973777771,0.1922820657491684,129,-0.712349534034729,0.0002,0.02483498305082321,,,,
1474,131,268288,181,0.3401237726211548,0.19084586203098297,130,-0.713629961013794,0.0002,-0.02250947430729866,,,,
1472,132,270336,183,0.39716893434524536,0.1830468475818634,131,-0.7130602598190308,0.0002,0.023428848013281822,,,,
1470,133,272384,185,0.32045286893844604,0.1921202391386032,132,-0.7113293409347534,0.0002,-0.010042337700724602,,,,
1468,134,274432,186,0.12311035394668579,0.1870211511850357,133,-0.7151092886924744,0.0002,0.02355968952178955,,,,
1466,135,276480,188,0.1816355586051941,0.19051136076450348,134,-0.7118352055549622,0.0002,-0.032184500247240067,,,,
1464,136,278528,190,0.3170512318611145,0.18285851180553436,135,-0.7066830396652222,0.0002,0.021916747093200684,,,,
1462,137,280576,191,0.12639355659484863,0.19736525416374207,136,-0.715298056602478,0.0002,-0.01599355787038803,,,,
1457,138,282624,193,0.17115908861160278,0.18369190394878387,137,-0.6982788443565369,0.0002,0.013018329627811909,,,,
1455,139,284672,195,0.22731894254684448,0.1946818083524704,138,-0.706160843372345,0.0002,-0.01703554019331932,,,,
1453,140,286720,197,0.07122915983200073,0.19437730312347412,139,-0.7160477638244629,0.0002,0.0275803841650486,,,,
1451,141,288768,198,-0.008098125457763672,0.1898464560508728,140,-0.7121579051017761,0.0002,-0.016913659870624542,,,,
1449,142,290816,200,0.009774863719940186,0.18879535794258118,141,-0.7172297835350037,0.0002,0.014922376722097397,,,,
1447,143,292864,202,0.009227395057678223,0.18349772691726685,142,-0.7086083889007568,0.0002,-0.02425520122051239,,,,
1444,144,294912,204,-0.020406365394592285,0.18877030909061432,143,-0.6955049633979797,0.0002,0.011298157274723053,,,,
1442,145,296960,205,0.03527069091796875,0.17918038368225098,144,-0.699428141117096,0.0002,-0.023660806939005852,,,,
1435,146,299008,208,-0.035755038261413574,0.18141551315784454,145,-0.7072700262069702,0.0002,0.013730388134717941,,,,
1431,147,301056,210,0.041032254695892334,0.18119241297245026,146,-0.7109745144844055,0.0002,-0.01352220494300127,,,,
1427,148,303104,212,0.013736128807067871,0.19153660535812378,147,-0.7082269191741943,0.0002,0.024021834135055542,,,,
1425,149,305152,214,0.01777660846710205,0.18023738265037537,148,-0.6995330452919006,0.0002,-0.019232528284192085,,,,
1423,150,307200,215,0.0498005747795105,0.1787799596786499,149,-0.6996579766273499,0.0002,0.016927773132920265,,,,
1420,151,309248,217,-0.01149439811706543,0.18022075295448303,150,-0.7069534063339233,0.0002,-0.009096168912947178,,,,
1419,152,311296,219,0.044643282890319824,0.18335796892642975,151,-0.7008494734764099,0.0002,0.008500158786773682,,,,
1416,153,313344,221,0.0719527006149292,0.19676341116428375,152,-0.6924815773963928,0.0002,-0.00906237494200468,,,,
1414,154,315392,222,0.1586800217628479,0.17451921105384827,153,-0.6762335300445557,0.0002,0.009195948950946331,,,,
1412,155,317440,224,0.10422956943511963,0.18291009962558746,154,-0.6849312782287598,0.0002,-0.02040325663983822,,,,
1410,156,319488,226,0.0021912455558776855,0.18741190433502197,155,-0.6865031719207764,0.0002,0.02105662226676941,,,,
1405,157,321536,228,0.09043490886688232,0.1807674616575241,156,-0.7042093873023987,0.0002,-0.031018119305372238,88.1,15244.93359375,,
1403,158,323584,230,0.14579570293426514,0.17370988428592682,157,-0.7128769755363464,0.0002,0.01620873622596264,,,,
1401,159,325632,232,0.1877041459083557,0.18245422840118408,158,-0.7136517763137817,0.0002,-0.010644571855664253,,,,
1399,160,327680,234,0.17026370763778687,0.18648597598075867,159,-0.6754814386367798,0.0002,0.022318964824080467,,,,
1392,161,329728,236,0.06294608116149902,0.18333113193511963,160,-0.6982744932174683,0.0002,-0.027947261929512024,,,,
1386,162,331776,239,-0.06467652320861816,0.20124207437038422,161,-0.6943554878234863,0.0002,0.03343173861503601,,,,
1382,163,333824,241,0.12758606672286987,0.17793981730937958,162,-0.7106773853302002,0.0002,-0.023281453177332878,,,,
1379,164,335872,243,0.15289068222045898,0.17885975539684296,163,-0.7133140563964844,0.0002,0.015474571846425533,,,,
1377,165,337920,245,0.287456750869751,0.1825910061597824,164,-0.720085620880127,0.0002,-0.02066998928785324,,,,
1375,166,339968,247,0.09090536832809448,0.21270456910133362,165,-0.7204415202140808,0.0002,0.023592714220285416,,,,
1372,167,342016,249,0.037555038928985596,0.18145042657852173,166,-0.718739926815033,0.0002,-0.014563953503966331,,,,
1368,168,344064,251,0.11243242025375366,0.1876424103975296,167,-0.7171856164932251,0.0002,0.0020851155277341604,,,,
1363,169,346112,253,0.10107821226119995,0.1836102455854416,168,-0.6999391317367554,0.0002,-0.022548791021108627,,,,
1352,170,348160,257,0.0022231340408325195,0.18758125603199005,169,-0.6843181848526001,0.0002,0.026142815127968788,,,,
1347,171,350208,259,0.0014229416847229004,0.1840290129184723,170,-0.6835622787475586,0.0002,-0.016300750896334648,,,,
1344,172,352256,261,-0.056076645851135254,0.18223999440670013,171,-0.7024368047714233,0.0002,0.014878423884510994,,,,
1342,173,354304,263,0.04192870855331421,0.1762416660785675,172,-0.7042760848999023,0.0002,-0.01747870072722435,,,,
1339,174,356352,266,0.08176827430725098,0.18062925338745117,173,-0.6828148365020752,0.0002,0.018348243087530136,,,,
1335,175,358400,268,0.0795181393623352,0.18040987849235535,174,-0.6845178008079529,0.0002,-0.016423407942056656,,,,
1331,176,360448,270,0.11902236938476562,0.17240159213542938,175,-0.6993009448051453,0.0002,0.018058473244309425,,,,
1327,177,362496,273,-0.01657390594482422,0.17992836236953735,176,-0.7090829014778137,0.0002,-0.020881008356809616,,,,
1322,178,364544,275,-0.03193211555480957,0.18491262197494507,177,-0.7089091539382935,0.0002,0.020328903570771217,,,22725.0,-211.100615
1319,179,366592,277,-0.00046885013580322266,0.20430153608322144,178,-0.7089387774467468,0.0002,-0.002171272411942482,,,22725.0,-211.100615
1318,180,368640,279,0.06097519397735596,0.1814764440059662,179,-0.7057024836540222,0.0002,-0.007710647769272327,,,22725.0,-211.100615
1316,181,370688,281,0.05762052536010742,0.1817484050989151,180,-0.7061730027198792,0.0002,0.008647977374494076,,,22725.0,-211.100615
1314,182,372736,283,-0.10617530345916748,0.19040852785110474,181,-0.7052942514419556,0.0002,-0.02599296346306801,,,22725.0,-211.100615
1312,183,374784,285,0.013452887535095215,0.17960545420646667,182,-0.7012023329734802,0.0002,0.00806518830358982,,,22725.0,-211.100615
1310,184,376832,287,0.05598253011703491,0.18358111381530762,183,-0.6783152222633362,0.0002,-0.012295969761908054,,,22725.0,-211.100615
1308,185,378880,289,0.09437793493270874,0.1839517056941986,184,-0.6834075450897217,0.0002,0.005066973157227039,,,22725.0,-211.100615
1304,186,380928,291,0.06002134084701538,0.18082085251808167,185,-0.6925362944602966,0.0002,-0.006224405020475388,,,22725.0,-211.100615
1301,187,382976,294,0.05461430549621582,0.18287163972854614,186,-0.7010173201560974,0.0002,0.022130629047751427,,,22725.0,-211.100615
1298,188,385024,296,-0.03673982620239258,0.18638873100280762,187,-0.7060892581939697,0.0002,-0.02916809171438217,,,22725.0,-211.100615
1291,189,387072,299,0.050730884075164795,0.1995059847831726,188,-0.7033591270446777,0.0002,0.026936354115605354,,,22725.0,-211.100615
1286,190,389120,302,0.04217606782913208,0.181379497051239,189,-0.7033354043960571,0.0002,-0.021091846749186516,,,22725.0,-211.100615
1283,191,391168,304,0.029889345169067383,0.1815374344587326,190,-0.7021251916885376,0.0002,0.012077677063643932,,,22725.0,-211.100615
1277,192,393216,307,-0.00630640983581543,0.18443326652050018,191,-0.7004019021987915,0.0002,-0.019146492704749107,,,22725.0,-211.100615
1272,193,395264,310,0.0017982125282287598,0.1832495480775833,192,-0.702359139919281,0.0002,0.016506504267454147,,,22725.0,-211.100615
1267,194,397312,313,0.05144590139389038,0.1887008547782898,193,-0.7014704346656799,0.0002,-0.014721127226948738,,,22725.0,-211.100615
1261,195,399360,316,0.0905504822731018,0.17389070987701416,194,-0.7024862170219421,0.0002,-0.0029800040647387505,,,22725.0,-211.100615
1256,196,401408,319,0.01660287380218506,0.18417133390903473,195,-0.6960665583610535,0.0002,0.010196668095886707,100.0,14119.68359375,22725.0,-211.100615
1250,197,403456,322,-0.0003027915954589844,0.1858956217765808,196,-0.6902958154678345,0.0002,-0.009385976940393448,,,22725.0,-211.100615
1246,198,405504,325,0.003976941108703613,0.18669727444648743,197,-0.6960296034812927,0.0002,0.020534761250019073,,,22725.0,-211.100615
1243,199,407552,327,-0.006155133247375488,0.18274986743927002,198,-0.6985883116722107,0.0002,-0.024054596200585365,,,22725.0,-211.100615
1239,200,409600,330,0.04646289348602295,0.1828818917274475,199,-0.6930899024009705,0.0002,0.020615771412849426,,,22725.0,-211.100615
1236,201,411648,332,0.005549371242523193,0.18681980669498444,200,-0.7024660706520081,0.0002,-0.02469242736697197,,,22725.0,-211.100615
1233,202,413696,335,0.031990110874176025,0.1825970709323883,201,-0.6873928904533386,0.0002,0.017278151586651802,,,22725.0,-211.100615
1229,203,415744,338,0.037514686584472656,0.18174023926258087,202,-0.6967782974243164,0.0002,-0.02343951165676117,,,22725.0,-211.100615
1226,204,417792,340,0.047543883323669434,0.18313783407211304,203,-0.6917321085929871,0.0002,0.016380151733756065,,,22725.0,-211.100615
1221,205,419840,343,0.05412548780441284,0.18089909851551056,204,-0.7041373252868652,0.0002,-0.01918002963066101,,,22725.0,-211.100615
1218,206,421888,346,-0.010298728942871094,0.18646971881389618,205,-0.7047974467277527,0.0002,0.014120922423899174,,,22725.0,-211.100615
1214,207,423936,348,0.0403401255607605,0.18653875589370728,206,-0.690244197845459,0.0002,-0.0071739135310053825,,,22725.0,-211.100615
1209,208,425984,352,0.051032960414886475,0.18146252632141113,207,-0.6964534521102905,0.0002,0.009959393180906773,,,22725.0,-211.100615
1203,209,428032,355,0.0032849907875061035,0.18301448225975037,208,-0.7040101885795593,0.0002,-0.019460434094071388,,,22725.0,-211.100615
1195,210,430080,359,-0.09652900695800781,0.19075420498847961,209,-0.6983239054679871,0.0002,0.006682013161480427,,,22725.0,-211.100615
1191,211,432128,362,-0.004398941993713379,0.18580496311187744,210,-0.7017438411712646,0.0002,-0.00967884249985218,,,22725.0,-211.100615
1189,212,434176,365,-0.00046622753143310547,0.18808390200138092,211,-0.7073519229888916,0.0002,0.020968478173017502,,,22725.0,-211.100615
1186,213,436224,367,0.045570969581604004,0.18047359585762024,212,-0.7074191570281982,0.0002,-0.020314792171120644,,,22725.0,-211.100615
1184,214,438272,370,0.028428614139556885,0.18529856204986572,213,-0.7072647213935852,0.0002,0.02066056989133358,,,22725.0,-211.100615
1181,215,440320,372,0.021027207374572754,0.1791294515132904,214,-0.7085092663764954,0.0002,-0.020609218627214432,,,22725.0,-211.100615
1179,216,442368,375,-0.00014030933380126953,0.18241864442825317,215,-0.7079650163650513,0.0002,0.017209025099873543,,,22725.0,-211.100615
1176,217,444416,377,-0.0025545358657836914,0.18269500136375427,216,-0.7056758403778076,0.0002,-0.01997317187488079,,,22725.0,-211.100615
1174,218,446464,380,-0.01691126823425293,0.18013334274291992,217,-0.7034144401550293,0.0002,0.010561794973909855,,,22725.0,-211.100615
1172,219,448512,382,-0.018185853958129883,0.18201646208763123,218,-0.66282719373703,0.0002,-0.020854508504271507,,,22725.0,-211.100615
1171,220,450560,384,0.00035434961318969727,0.18222784996032715,219,-0.6793878674507141,0.0002,0.018965987488627434,,,25396.0,-161.7567365
1170,221,452608,386,-0.005232453346252441,0.2116965502500534,220,-0.6787501573562622,0.0002,-6.694626063108444e-05,,,25396.0,-161.7567365
1168,222,454656,389,0.03452986478805542,0.18440447747707367,221,-0.6962127685546875,0.0002,-0.011582039296627045,,,25396.0,-161.7567365
1166,223,456704,391,0.08939886093139648,0.18253694474697113,222,-0.6893198490142822,0.0002,0.017812741920351982,,,25396.0,-161.7567365
1163,224,458752,394,0.07173120975494385,0.1850220263004303,223,-0.6978650689125061,0.0002,-0.01331324502825737,,,25396.0,-161.7567365
